epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,221.88,1.51839,1.21555,1.61288,0.62043,0.5776,0.54456,0.30307,1.74438,1.32831,1.52211,0.000661525,0.000661525,0.000661525
57,225.79,1.48401,1.23263,1.58291,0.67767,0.53495,0.59208,0.33816,1.71292,1.29366,1.49665,0.000657025,0.000657025,0.000657025
58,229.721,1.45366,1.19715,1.56705,0.55139,0.58434,0.57516,0.33002,1.65394,1.32315,1.50443,0.000652526,0.000652526,0.000652526
59,233.858,1.47896,1.17786,1.59132,0.5922,0.57686,0.58093,0.33783,1.61359,1.2814,1.47424,0.000648026,0.000648026,0.000648026
60,237.818,1.45738,1.14413,1.57015,0.64665,0.58982,0.58834,0.36786,1.5459,1.33931,1.47289,0.000643527,0.000643527,0.000643527
61,241.826,1.44285,1.16492,1.58379,0.58406,0.59619,0.58098,0.35339,1.71978,1.33599,1.59371,0.000639027,0.000639027,0.000639027
62,245.929,1.45488,1.15597,1.56681,0.60611,0.58052,0.59973,0.31262,1.85214,1.38126,1.59611,0.000634527,0.000634527,0.000634527
63,249.788,1.50459,1.17026,1.58949,0.60818,0.57435,0.58143,0.34007,1.6318,1.26122,1.46799,0.000630028,0.000630028,0.000630028
64,253.795,1.46507,1.18408,1.55316,0.72762,0.49536,0.5473,0.32339,1.61572,1.18697,1.50674,0.000625528,0.000625528,0.000625528
65,257.686,1.44606,1.19464,1.56185,0.48675,0.61435,0.5264,0.29116,1.72378,1.27964,1.56692,0.000621029,0.000621029,0.000621029
66,261.737,1.49359,1.11842,1.55815,0.51337,0.62268,0.57955,0.34508,1.77702,1.27031,1.55281,0.000616529,0.000616529,0.000616529
67,265.836,1.42895,1.11809,1.54874,0.59706,0.53289,0.56105,0.33936,1.73615,1.30002,1.52006,0.00061203,0.00061203,0.00061203
68,269.878,1.43424,1.10001,1.54794,0.59936,0.56512,0.58593,0.33633,1.6219,1.25547,1.47485,0.00060753,0.00060753,0.00060753
69,274.07,1.43732,1.16035,1.54974,0.59053,0.56193,0.55367,0.3391,1.60173,1.25049,1.48216,0.000603031,0.000603031,0.000603031
70,278.322,1.43394,1.14637,1.54218,0.57313,0.52436,0.57308,0.34102,1.57895,1.29384,1.46267,0.000598531,0.000598531,0.000598531
71,282.291,1.42021,1.10076,1.54953,0.53127,0.54611,0.57516,0.34591,1.55249,1.31006,1.4427,0.000594031,0.000594031,0.000594031
72,286.313,1.42585,1.10662,1.54369,0.53085,0.62303,0.55251,0.32063,1.668,1.22432,1.53745,0.000589532,0.000589532,0.000589532
73,290.592,1.44079,1.11604,1.55548,0.71205,0.49773,0.54092,0.33067,1.62206,1.33593,1.51689,0.000585032,0.000585032,0.000585032
74,295.618,1.41583,1.12128,1.53462,0.59074,0.53802,0.59405,0.37015,1.65425,1.33124,1.45096,0.000580533,0.000580533,0.000580533
75,301.134,1.40526,1.08268,1.52464,0.68846,0.508,0.60294,0.35437,1.65443,1.39239,1.44191,0.000576033,0.000576033,0.000576033
76,305.309,1.43757,1.10851,1.55686,0.68493,0.53999,0.60368,0.38328,1.52956,1.23662,1.3822,0.000571534,0.000571534,0.000571534
77,309.353,1.39484,1.08214,1.5027,0.54475,0.58219,0.60806,0.35188,1.80485,1.26764,1.49369,0.000567034,0.000567034,0.000567034
78,313.372,1.37223,1.07716,1.49241,0.566,0.62608,0.61026,0.34219,1.86121,1.24995,1.51419,0.000562535,0.000562535,0.000562535
79,317.258,1.42317,1.09488,1.53532,0.59679,0.60047,0.58236,0.343,1.72735,1.21939,1.49678,0.000558035,0.000558035,0.000558035
80,321.114,1.40074,1.06497,1.50957,0.60972,0.53661,0.56271,0.33203,1.85164,1.29303,1.61517,0.000553536,0.000553536,0.000553536
81,325.058,1.38759,1.06297,1.51989,0.60721,0.5562,0.57293,0.33692,1.92352,1.31959,1.6082,0.000549036,0.000549036,0.000549036
82,329.079,1.44398,1.07738,1.55672,0.61266,0.54955,0.59187,0.35072,1.90782,1.26621,1.59881,0.000544536,0.000544536,0.000544536
83,332.993,1.41257,1.07515,1.5215,0.56242,0.59056,0.57509,0.33821,1.80954,1.23048,1.52882,0.000540037,0.000540037,0.000540037
84,337.134,1.38922,1.04311,1.48469,0.54181,0.62991,0.59587,0.36371,1.63223,1.12047,1.44717,0.000535537,0.000535537,0.000535537
85,341.009,1.38141,1.02033,1.49629,0.63354,0.52774,0.58375,0.36583,1.60691,1.1754,1.38868,0.000531038,0.000531038,0.000531038
86,344.927,1.40138,1.04718,1.50019,0.63989,0.55464,0.59608,0.37915,1.50869,1.22234,1.40076,0.000526538,0.000526538,0.000526538
87,348.797,1.41575,1.06799,1.52561,0.49706,0.58011,0.54021,0.33968,1.51099,1.27733,1.46012,0.000522039,0.000522039,0.000522039
88,352.781,1.40108,1.05631,1.50745,0.59407,0.56754,0.57091,0.36133,1.54639,1.22583,1.46947,0.000517539,0.000517539,0.000517539
89,356.739,1.4042,1.08065,1.50899,0.62576,0.54001,0.57232,0.36315,1.66346,1.21558,1.47525,0.00051304,0.00051304,0.00051304
90,360.719,1.38436,1.05886,1.50618,0.60667,0.61628,0.59662,0.3889,1.63821,1.1342,1.44383,0.00050854,0.00050854,0.00050854
91,364.645,1.36791,1.051,1.49597,0.70238,0.49143,0.59009,0.36583,1.69686,1.19017,1.50936,0.00050404,0.00050404,0.00050404
92,368.843,1.36446,1.04515,1.49225,0.6485,0.52824,0.60491,0.37823,1.56426,1.12531,1.43477,0.000499541,0.000499541,0.000499541
93,372.734,1.35052,1.01072,1.47805,0.5594,0.62671,0.5787,0.35204,1.63337,1.17522,1.49926,0.000495041,0.000495041,0.000495041
94,376.743,1.38023,1.01971,1.50902,0.63115,0.55019,0.58031,0.3582,1.57477,1.19182,1.44216,0.000490542,0.000490542,0.000490542
95,380.644,1.39357,1.03788,1.49996,0.72145,0.54184,0.56633,0.36698,1.50752,1.13948,1.4237,0.000486042,0.000486042,0.000486042
96,384.596,1.36157,1.0015,1.48901,0.69919,0.55093,0.56897,0.37049,1.47068,1.1504,1.43975,0.000481543,0.000481543,0.000481543
97,388.522,1.34039,1.02977,1.45113,0.53872,0.5966,0.54577,0.34685,1.45438,1.25078,1.40329,0.000477043,0.000477043,0.000477043
98,392.296,1.3741,1.02051,1.50212,0.72366,0.5837,0.60051,0.35085,1.43469,1.17319,1.4114,0.000472544,0.000472544,0.000472544
99,396.037,1.34971,1.0026,1.48633,0.66769,0.58259,0.59176,0.37068,1.4954,1.24052,1.39986,0.000468044,0.000468044,0.000468044
100,400.189,1.36286,1.01584,1.49634,0.79436,0.55195,0.60667,0.38851,1.50443,1.15489,1.47456,0.000463545,0.000463545,0.000463545
101,404.122,1.35859,1.01509,1.47854,0.71215,0.55668,0.59938,0.37652,1.46458,1.18132,1.34098,0.000459045,0.000459045,0.000459045
102,408.104,1.3419,0.98153,1.47615,0.6964,0.48918,0.57994,0.37733,1.4978,1.21366,1.38553,0.000454545,0.000454545,0.000454545
103,411.999,1.36245,0.95999,1.47112,0.59923,0.55392,0.58609,0.37677,1.55797,1.25068,1.46163,0.000450046,0.000450046,0.000450046
104,415.989,1.35039,0.96712,1.47125,0.7523,0.57305,0.61135,0.37346,1.62985,1.13841,1.48029,0.000445546,0.000445546,0.000445546
105,419.943,1.32263,0.97824,1.45934,0.60602,0.56655,0.59076,0.37401,1.53281,1.17838,1.38052,0.000441047,0.000441047,0.000441047
106,423.867,1.31972,0.96906,1.4577,0.59315,0.57079,0.56126,0.3484,1.51477,1.2294,1.41942,0.000436547,0.000436547,0.000436547
107,427.778,1.34403,0.96683,1.45241,0.68927,0.52995,0.58516,0.35378,1.56523,1.23326,1.42757,0.000432048,0.000432048,0.000432048
108,431.959,1.31344,0.92998,1.41904,0.56105,0.58123,0.57262,0.35526,1.54162,1.33865,1.39767,0.000427548,0.000427548,0.000427548
109,435.842,1.28354,0.93921,1.43218,0.68526,0.5783,0.61035,0.38989,1.4599,1.1657,1.33791,0.000423049,0.000423049,0.000423049
110,439.834,1.35907,0.93068,1.45693,0.7267,0.57788,0.62783,0.39911,1.49119,1.10669,1.36082,0.000418549,0.000418549,0.000418549
111,443.765,1.32662,0.92891,1.45293,0.66414,0.59117,0.60839,0.36408,1.7184,1.15534,1.47217,0.000414049,0.000414049,0.000414049
112,447.739,1.29896,0.90349,1.42348,0.76896,0.51767,0.62122,0.39715,1.57085,1.12143,1.37666,0.00040955,0.00040955,0.00040955
113,451.642,1.29169,0.92367,1.4396,0.70997,0.57626,0.62891,0.38486,1.74127,1.14879,1.46458,0.00040505,0.00040505,0.00040505
114,455.646,1.33746,0.95237,1.45531,0.64223,0.54981,0.60722,0.40283,1.46839,1.18619,1.35952,0.000400551,0.000400551,0.000400551
115,459.614,1.30138,0.92356,1.44621,0.65687,0.57002,0.61731,0.38954,1.58567,1.32315,1.43828,0.000396051,0.000396051,0.000396051
116,463.621,1.30058,0.94781,1.44437,0.56125,0.57414,0.60078,0.39832,1.53799,1.34942,1.46377,0.000391552,0.000391552,0.000391552
117,467.497,1.34016,0.98209,1.46066,0.67195,0.54526,0.61496,0.37893,1.61471,1.40891,1.47092,0.000387052,0.000387052,0.000387052
118,471.466,1.30839,0.95069,1.43232,0.67635,0.54613,0.61357,0.38118,1.53461,1.27565,1.4251,0.000382553,0.000382553,0.000382553
119,475.23,1.35736,0.97486,1.48359,0.64849,0.55771,0.59214,0.35668,1.72096,1.37325,1.52282,0.000378053,0.000378053,0.000378053
120,479.34,1.27989,0.90662,1.42738,0.66554,0.54413,0.59916,0.39587,1.53704,1.30173,1.42234,0.000373554,0.000373554,0.000373554
121,483.298,1.28348,0.92196,1.43012,0.62007,0.59067,0.61365,0.38642,1.58844,1.20973,1.45189,0.000369054,0.000369054,0.000369054
122,487.371,1.29984,0.92547,1.44193,0.62625,0.56161,0.6054,0.39034,1.48033,1.23237,1.41768,0.000364554,0.000364554,0.000364554
123,491.538,1.2748,0.90217,1.40815,0.65025,0.55333,0.57916,0.37767,1.51752,1.35192,1.42011,0.000360055,0.000360055,0.000360055
124,495.751,1.2728,0.88808,1.40421,0.66955,0.56053,0.60713,0.38429,1.53638,1.30127,1.39056,0.000355555,0.000355555,0.000355555
125,499.773,1.25633,0.8817,1.40124,0.67283,0.57968,0.6013,0.38688,1.51927,1.19364,1.39314,0.000351056,0.000351056,0.000351056
126,503.821,1.24484,0.88865,1.38521,0.70715,0.58717,0.60216,0.40019,1.49824,1.11832,1.40812,0.000346556,0.000346556,0.000346556
127,507.896,1.25749,0.89291,1.40683,0.73136,0.54883,0.58196,0.37773,1.52916,1.1778,1.40126,0.000342057,0.000342057,0.000342057
128,511.93,1.28777,0.90549,1.4374,0.67466,0.55039,0.56878,0.35292,1.59019,1.20828,1.42647,0.000337557,0.000337557,0.000337557
129,515.786,1.27441,0.89595,1.40109,0.57381,0.63203,0.62966,0.37747,1.58385,1.18683,1.44974,0.000333058,0.000333058,0.000333058
130,519.727,1.25228,0.88904,1.42107,0.74849,0.56492,0.62975,0.39971,1.5928,1.13256,1.47697,0.000328558,0.000328558,0.000328558
131,523.603,1.24262,0.84157,1.38599,0.78477,0.62096,0.66218,0.41963,1.54926,1.08459,1.46544,0.000324058,0.000324058,0.000324058
132,527.773,1.22925,0.85866,1.36947,0.69108,0.61057,0.63172,0.40452,1.50278,1.17832,1.44327,0.000319559,0.000319559,0.000319559
133,531.668,1.20847,0.85257,1.38675,0.78075,0.6305,0.6615,0.41585,1.62158,1.20323,1.50092,0.000315059,0.000315059,0.000315059
134,535.589,1.22872,0.8856,1.3895,0.66731,0.66435,0.64724,0.39185,1.63009,1.14241,1.49119,0.00031056,0.00031056,0.00031056
135,539.464,1.25268,0.90061,1.39409,0.66338,0.63052,0.64713,0.38563,1.5968,1.1392,1.45808,0.00030606,0.00030606,0.00030606
136,543.394,1.2273,0.84329,1.3937,0.76967,0.64654,0.66981,0.41993,1.54808,1.20646,1.43482,0.000301561,0.000301561,0.000301561
137,547.314,1.22414,0.86401,1.37187,0.67974,0.64497,0.64855,0.4157,1.61347,1.16077,1.4892,0.000297061,0.000297061,0.000297061
138,551.395,1.2392,0.85428,1.38356,0.756,0.54716,0.60296,0.37527,1.60595,1.27521,1.56705,0.000292562,0.000292562,0.000292562
139,555.354,1.20786,0.84523,1.36688,0.65948,0.5579,0.59118,0.36762,1.65689,1.30755,1.58039,0.000288062,0.000288062,0.000288062
140,559.462,1.22326,0.81711,1.37296,0.74014,0.54295,0.57295,0.37173,1.52485,1.31172,1.55926,0.000283563,0.000283563,0.000283563
141,563.357,1.26869,0.88961,1.40786,0.66094,0.58277,0.59287,0.38645,1.56368,1.31692,1.53873,0.000279063,0.000279063,0.000279063
142,567.374,1.25053,0.88619,1.39029,0.72258,0.58801,0.61213,0.39415,1.50156,1.2594,1.44417,0.000274563,0.000274563,0.000274563
143,571.312,1.20914,0.79182,1.34052,0.71435,0.59485,0.5936,0.39469,1.60233,1.25457,1.49631,0.000270064,0.000270064,0.000270064
144,575.232,1.22484,0.83772,1.37214,0.66099,0.62172,0.61575,0.38756,1.57225,1.22039,1.45097,0.000265564,0.000265564,0.000265564
145,579.176,1.21161,0.83741,1.35805,0.58978,0.65786,0.62264,0.38756,1.57686,1.21219,1.45652,0.000261065,0.000261065,0.000261065
146,583.168,1.23274,0.83799,1.37575,0.66115,0.62814,0.63109,0.41424,1.53858,1.18232,1.44344,0.000256565,0.000256565,0.000256565
147,587.056,1.20233,0.83271,1.35738,0.72641,0.64451,0.65735,0.41609,1.51505,1.13048,1.45784,0.000252066,0.000252066,0.000252066
148,591.207,1.28442,0.87804,1.41198,0.6532,0.68632,0.66473,0.41112,1.63748,1.09744,1.51254,0.000247566,0.000247566,0.000247566
149,595.12,1.16782,0.79303,1.34478,0.79744,0.5503,0.6435,0.39516,1.57631,1.13551,1.47069,0.000243067,0.000243067,0.000243067
150,599.125,1.19816,0.82692,1.34343,0.5996,0.55621,0.59392,0.39198,1.50272,1.13061,1.45097,0.000238567,0.000238567,0.000238567
151,603.048,1.18608,0.81756,1.3473,0.5984,0.54629,0.58254,0.38715,1.57757,1.10225,1.48652,0.000234068,0.000234068,0.000234068
152,606.973,1.20614,0.79285,1.35528,0.58207,0.66358,0.64528,0.42323,1.52444,1.05247,1.52152,0.000229568,0.000229568,0.000229568
153,610.896,1.16972,0.77141,1.32524,0.71619,0.60746,0.64632,0.42237,1.55083,1.09708,1.51451,0.000225068,0.000225068,0.000225068
154,614.794,1.21642,0.82883,1.37176,0.63704,0.63905,0.61654,0.39753,1.5932,1.09789,1.58483,0.000220569,0.000220569,0.000220569
155,618.613,1.20183,0.8082,1.36895,0.68292,0.54716,0.61208,0.39833,1.4897,1.15124,1.4862,0.000216069,0.000216069,0.000216069
156,622.693,1.19026,0.80641,1.33817,0.76039,0.57703,0.61977,0.4091,1.46852,1.1976,1.45944,0.00021157,0.00021157,0.00021157
157,626.496,1.16279,0.74865,1.33258,0.7773,0.56723,0.61916,0.403,1.53785,1.22887,1.48574,0.00020707,0.00020707,0.00020707
158,630.371,1.22011,0.79198,1.36685,0.72052,0.56426,0.60892,0.41147,1.60068,1.18823,1.50441,0.000202571,0.000202571,0.000202571
159,634.327,1.20512,0.79973,1.35804,0.59606,0.64462,0.61867,0.42347,1.53272,1.14847,1.48303,0.000198071,0.000198071,0.000198071
160,638.322,1.18911,0.77302,1.3403,0.6353,0.62177,0.60893,0.40654,1.54739,1.11749,1.46524,0.000193572,0.000193572,0.000193572
161,642.21,1.17594,0.77607,1.34131,0.7626,0.53307,0.60028,0.40614,1.5062,1.12498,1.45333,0.000189072,0.000189072,0.000189072
162,646.167,1.14004,0.7611,1.31638,0.55611,0.67407,0.61088,0.40121,1.4636,1.08453,1.41872,0.000184572,0.000184572,0.000184572
163,650.086,1.16404,0.81577,1.33604,0.64624,0.56933,0.60736,0.39937,1.44721,1.06814,1.42441,0.000180073,0.000180073,0.000180073
164,654.146,1.17552,0.79934,1.33384,0.7013,0.60853,0.62121,0.41299,1.46342,1.12996,1.4396,0.000175573,0.000175573,0.000175573
165,658.104,1.13105,0.77868,1.31362,0.85729,0.56011,0.60433,0.40537,1.42573,1.20736,1.4223,0.000171074,0.000171074,0.000171074
166,662.063,1.15635,0.78492,1.32396,0.58773,0.63866,0.61462,0.41622,1.40313,1.20346,1.43042,0.000166574,0.000166574,0.000166574
