epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,374.319,1.37452,1.04171,1.22903,0.72115,0.69887,0.73749,0.40143,1.52876,1.21272,1.16996,0.000668066,0.000668066,0.000668066
62,380.515,1.38946,1.10921,1.23676,0.67405,0.69702,0.71478,0.42587,1.40366,1.24193,1.12677,0.000665317,0.000665317,0.000665317
63,386.453,1.35429,1.02202,1.22202,0.78691,0.61381,0.74963,0.43327,1.40386,1.21863,1.11851,0.000662568,0.000662568,0.000662568
64,392.398,1.37746,1.03903,1.23043,0.81248,0.64234,0.77281,0.4201,1.58618,1.12786,1.17688,0.000659819,0.000659819,0.000659819
65,398.45,1.38755,1.04157,1.231,0.70738,0.75235,0.77465,0.4059,1.65888,1.13172,1.19586,0.00065707,0.00065707,0.00065707
66,404.527,1.38199,1.01702,1.21582,0.75345,0.67511,0.75258,0.45664,1.42195,1.24483,1.1251,0.000654321,0.000654321,0.000654321
67,410.629,1.41566,1.04847,1.20903,0.68007,0.69754,0.75956,0.44952,1.49968,1.18231,1.15334,0.000651573,0.000651573,0.000651573
68,416.751,1.37451,1.02184,1.22111,0.77886,0.69469,0.80676,0.50593,1.30535,1.11776,1.09133,0.000648824,0.000648824,0.000648824
69,422.702,1.35906,0.99147,1.2145,0.74319,0.65784,0.73758,0.45216,1.38153,1.1638,1.13361,0.000646075,0.000646075,0.000646075
70,428.691,1.36961,1.05547,1.21925,0.75284,0.75555,0.81587,0.46673,1.58099,1.09465,1.18258,0.000643326,0.000643326,0.000643326
71,434.844,1.34433,1.01237,1.22492,0.7484,0.7119,0.76345,0.47219,1.40102,1.22326,1.10103,0.000640577,0.000640577,0.000640577
72,440.993,1.3971,1.06347,1.23011,0.74221,0.72442,0.79073,0.49718,1.27136,1.16158,1.07333,0.000637828,0.000637828,0.000637828
73,447.174,1.34712,0.97518,1.19946,0.6624,0.72755,0.77858,0.50841,1.27653,1.1212,1.08891,0.000635079,0.000635079,0.000635079
74,453.094,1.35146,1.03036,1.21278,0.72493,0.68791,0.77186,0.46862,1.42607,1.12354,1.11944,0.00063233,0.00063233,0.00063233
75,459.24,1.37617,1.02611,1.22122,0.7288,0.76691,0.79012,0.40852,1.64146,1.11808,1.20967,0.000629581,0.000629581,0.000629581
76,465.276,1.36215,0.98324,1.22715,0.75533,0.68465,0.76941,0.46448,1.43085,1.11597,1.11937,0.000626832,0.000626832,0.000626832
77,471.333,1.28571,0.97842,1.18376,0.78086,0.67925,0.79881,0.47497,1.47229,1.17666,1.12833,0.000624084,0.000624084,0.000624084
78,477.317,1.37887,0.9964,1.21757,0.65598,0.65528,0.70313,0.40849,1.49606,1.23763,1.14506,0.000621335,0.000621335,0.000621335
79,483.111,1.33155,0.95242,1.18978,0.68143,0.76059,0.77326,0.48292,1.3393,1.0848,1.09911,0.000618586,0.000618586,0.000618586
80,489.151,1.30117,0.95502,1.19201,0.75922,0.69885,0.78226,0.44665,1.49487,1.13068,1.13237,0.000615837,0.000615837,0.000615837
81,495.174,1.35118,1.00457,1.19513,0.70555,0.70824,0.7856,0.4687,1.3868,1.11298,1.11042,0.000613088,0.000613088,0.000613088
82,501.371,1.34986,0.94873,1.21017,0.77706,0.72933,0.82108,0.47879,1.44717,1.10566,1.137,0.000610339,0.000610339,0.000610339
83,507.501,1.33476,0.94222,1.20194,0.6342,0.76635,0.7488,0.45226,1.36431,1.16253,1.11035,0.00060759,0.00060759,0.00060759
84,513.526,1.35456,1.00195,1.21428,0.80742,0.73604,0.83373,0.49388,1.3565,1.1133,1.09716,0.000604841,0.000604841,0.000604841
85,519.543,1.36182,0.9866,1.21453,0.75347,0.76648,0.80405,0.47512,1.42984,1.1022,1.13628,0.000602092,0.000602092,0.000602092
86,525.467,1.32538,0.94643,1.16904,0.86041,0.71886,0.84394,0.48792,1.4606,1.06927,1.12632,0.000599343,0.000599343,0.000599343
87,531.415,1.32875,0.94924,1.20293,0.80643,0.78663,0.85006,0.52644,1.36264,0.99601,1.09213,0.000596595,0.000596595,0.000596595
88,537.592,1.28521,0.89481,1.1784,0.76702,0.70117,0.80708,0.49479,1.42871,1.14285,1.11957,0.000593846,0.000593846,0.000593846
89,543.741,1.33672,0.94283,1.21651,0.78958,0.73556,0.81728,0.47484,1.51063,1.0626,1.16005,0.000591097,0.000591097,0.000591097
90,549.847,1.30496,0.92745,1.16631,0.64344,0.74997,0.78216,0.49359,1.36007,1.04665,1.10782,0.000588348,0.000588348,0.000588348
91,555.819,1.30519,0.88482,1.18246,0.79819,0.7242,0.80785,0.49852,1.32519,1.01204,1.09534,0.000585599,0.000585599,0.000585599
92,561.73,1.30214,0.90863,1.19045,0.7528,0.7487,0.80283,0.47939,1.42925,1.02794,1.12876,0.00058285,0.00058285,0.00058285
93,567.706,1.29892,0.9017,1.18576,0.79042,0.69264,0.7837,0.4623,1.38075,1.06331,1.09847,0.000580101,0.000580101,0.000580101
94,573.729,1.29763,0.90129,1.18615,0.80823,0.72959,0.80502,0.49093,1.36721,1.03376,1.09878,0.000577352,0.000577352,0.000577352
95,579.803,1.31446,0.9098,1.19342,0.74035,0.78092,0.83073,0.48934,1.44996,1.10567,1.12809,0.000574603,0.000574603,0.000574603
96,586.144,1.29156,0.86366,1.16135,0.80431,0.80099,0.85922,0.53351,1.28688,0.93608,1.073,0.000571854,0.000571854,0.000571854
97,592.354,1.29549,0.88781,1.19312,0.81943,0.76319,0.84386,0.52411,1.35126,0.98806,1.09053,0.000569106,0.000569106,0.000569106
98,598.414,1.30049,0.90097,1.17928,0.70109,0.73116,0.77874,0.46444,1.38295,1.03338,1.09934,0.000566357,0.000566357,0.000566357
99,604.266,1.28016,0.85043,1.17449,0.75135,0.767,0.8286,0.48477,1.39256,0.97106,1.10065,0.000563608,0.000563608,0.000563608
100,610.337,1.29623,0.85694,1.17923,0.7677,0.77375,0.82514,0.49826,1.41349,1.00585,1.12848,0.000560859,0.000560859,0.000560859
101,616.206,1.32271,0.86758,1.18963,0.7959,0.74793,0.80878,0.50314,1.30224,1.00448,1.08165,0.00055811,0.00055811,0.00055811
102,622.191,1.29025,0.87909,1.16993,0.81242,0.66463,0.82164,0.51697,1.29448,1.0116,1.09035,0.000555361,0.000555361,0.000555361
103,628.341,1.27139,0.85603,1.17402,0.81863,0.70947,0.81844,0.51634,1.324,1.00749,1.0925,0.000552612,0.000552612,0.000552612
104,634.293,1.29416,0.8501,1.16326,0.7973,0.69907,0.78728,0.48744,1.25912,1.07997,1.0835,0.000549863,0.000549863,0.000549863
105,640.205,1.27559,0.84365,1.16831,0.82933,0.72717,0.81371,0.5324,1.2365,0.963,1.06997,0.000547114,0.000547114,0.000547114
106,646.168,1.27602,0.87739,1.16724,0.82794,0.7297,0.82033,0.52156,1.28844,0.94655,1.09381,0.000544365,0.000544365,0.000544365
107,652.113,1.25207,0.83047,1.18503,0.8598,0.73516,0.80948,0.4832,1.44309,1.00984,1.14131,0.000541617,0.000541617,0.000541617
108,658.319,1.30267,0.88853,1.17911,0.80464,0.74589,0.80861,0.46698,1.47454,1.02429,1.14585,0.000538868,0.000538868,0.000538868
109,664.28,1.256,0.82028,1.15365,0.75704,0.71315,0.76823,0.46168,1.39437,1.04023,1.13214,0.000536119,0.000536119,0.000536119
110,670.465,1.25945,0.80135,1.16221,0.77917,0.73296,0.81976,0.49469,1.39412,0.99459,1.1098,0.00053337,0.00053337,0.00053337
111,676.494,1.29935,0.86006,1.17157,0.78667,0.74158,0.81048,0.48081,1.44532,1.06189,1.11998,0.000530621,0.000530621,0.000530621
112,682.471,1.2842,0.85049,1.15174,0.77218,0.80429,0.81812,0.48769,1.43545,0.93888,1.10163,0.000527872,0.000527872,0.000527872
113,688.451,1.25667,0.81366,1.14944,0.82111,0.76855,0.85726,0.52055,1.35926,0.92888,1.12443,0.000525123,0.000525123,0.000525123
114,694.342,1.26742,0.8486,1.17337,0.67055,0.79875,0.78389,0.50198,1.28395,1.08999,1.08881,0.000522374,0.000522374,0.000522374
115,700.229,1.27198,0.83557,1.16485,0.77498,0.85732,0.83355,0.51083,1.39284,0.96674,1.10623,0.000519625,0.000519625,0.000519625
116,706.032,1.25818,0.8451,1.14507,0.80399,0.81084,0.8583,0.50288,1.45947,0.92914,1.13384,0.000516877,0.000516877,0.000516877
117,712.076,1.25557,0.79587,1.15353,0.77266,0.77686,0.83989,0.52756,1.27735,0.96231,1.08416,0.000514128,0.000514128,0.000514128
118,718.202,1.28587,0.81488,1.16181,0.78886,0.77676,0.82489,0.51433,1.27542,0.95939,1.06132,0.000511379,0.000511379,0.000511379
119,724.155,1.24126,0.78625,1.15065,0.84257,0.69028,0.81221,0.5001,1.31866,1.01931,1.08818,0.00050863,0.00050863,0.00050863
120,730.367,1.26461,0.83362,1.15833,0.72812,0.78154,0.78618,0.50897,1.27496,0.99584,1.0666,0.000505881,0.000505881,0.000505881
121,736.311,1.21551,0.79351,1.12797,0.7913,0.70608,0.78421,0.49605,1.27366,1.02754,1.07895,0.000503132,0.000503132,0.000503132
122,742.341,1.25654,0.77648,1.15584,0.75671,0.79029,0.827,0.52011,1.27701,0.96576,1.08808,0.000500383,0.000500383,0.000500383
123,748.346,1.27362,0.80764,1.16894,0.79704,0.70137,0.79081,0.51666,1.26978,0.98467,1.06128,0.000497634,0.000497634,0.000497634
124,754.325,1.26687,0.82549,1.16671,0.7792,0.76779,0.84392,0.55804,1.20052,0.94684,1.04355,0.000494885,0.000494885,0.000494885
125,760.563,1.24303,0.80754,1.1575,0.79918,0.80464,0.84585,0.5508,1.23713,0.93499,1.06278,0.000492136,0.000492136,0.000492136
126,766.62,1.26309,0.79141,1.14823,0.82338,0.70237,0.80682,0.51575,1.27719,0.97923,1.08343,0.000489387,0.000489387,0.000489387
127,772.642,1.24316,0.78521,1.13724,0.80713,0.67252,0.8036,0.50499,1.32971,1.02685,1.10672,0.000486639,0.000486639,0.000486639
128,778.771,1.26892,0.80266,1.14809,0.78939,0.76672,0.82238,0.53378,1.19155,0.95107,1.03559,0.00048389,0.00048389,0.00048389
129,784.892,1.23588,0.79399,1.15319,0.78191,0.78921,0.82618,0.53277,1.25135,0.91954,1.06611,0.000481141,0.000481141,0.000481141
130,790.96,1.24737,0.80257,1.15104,0.8856,0.73862,0.85956,0.49478,1.42356,0.9878,1.10959,0.000478392,0.000478392,0.000478392
131,796.942,1.20846,0.76494,1.11998,0.86918,0.71136,0.82701,0.52496,1.25593,1.01036,1.06645,0.000475643,0.000475643,0.000475643
132,803.153,1.22688,0.78647,1.13719,0.83171,0.73978,0.84472,0.53579,1.26364,0.9687,1.05665,0.000472894,0.000472894,0.000472894
133,809.038,1.23587,0.77966,1.13153,0.86746,0.73615,0.84975,0.50894,1.38955,0.93957,1.08619,0.000470145,0.000470145,0.000470145
134,814.829,1.18947,0.78156,1.12798,0.78316,0.80288,0.85361,0.53161,1.26144,0.95359,1.04802,0.000467396,0.000467396,0.000467396
135,820.928,1.21154,0.78161,1.13923,0.81297,0.77521,0.81344,0.52923,1.22375,1.01805,1.054,0.000464647,0.000464647,0.000464647
136,826.763,1.23663,0.76864,1.12537,0.77173,0.79525,0.84113,0.54295,1.24478,0.97154,1.05999,0.000461898,0.000461898,0.000461898
137,832.507,1.23689,0.7752,1.13758,0.76866,0.82719,0.85676,0.54437,1.24139,0.98962,1.05481,0.00045915,0.00045915,0.00045915
138,838.43,1.18634,0.73655,1.11211,0.80139,0.77064,0.86119,0.56538,1.15701,0.94301,1.03131,0.000456401,0.000456401,0.000456401
139,844.374,1.24545,0.78945,1.1457,0.88553,0.73042,0.85573,0.5295,1.28067,0.96277,1.0753,0.000453652,0.000453652,0.000453652
140,850.514,1.21489,0.7434,1.11876,0.84696,0.76669,0.86726,0.55362,1.25675,0.95349,1.07914,0.000450903,0.000450903,0.000450903
141,856.511,1.20729,0.74343,1.12764,0.75605,0.76369,0.86313,0.54207,1.27995,0.95635,1.07293,0.000448154,0.000448154,0.000448154
142,862.444,1.19365,0.75097,1.11871,0.73746,0.84651,0.84564,0.54255,1.23462,0.91765,1.05581,0.000445405,0.000445405,0.000445405
143,868.498,1.2143,0.73641,1.13252,0.79573,0.84755,0.86336,0.55982,1.22697,0.90531,1.04144,0.000442656,0.000442656,0.000442656
144,874.557,1.20595,0.74635,1.1234,0.89568,0.83016,0.87784,0.58198,1.22402,0.90466,1.04839,0.000439907,0.000439907,0.000439907
145,880.588,1.20878,0.75519,1.12373,0.83467,0.77182,0.8579,0.54644,1.30812,0.96331,1.08135,0.000437158,0.000437158,0.000437158
146,886.687,1.1981,0.71347,1.129,0.82059,0.78045,0.8667,0.52835,1.33106,0.95491,1.10262,0.000434409,0.000434409,0.000434409
147,892.905,1.19969,0.73613,1.11099,0.86543,0.78563,0.86028,0.55454,1.30699,0.90099,1.07135,0.000431661,0.000431661,0.000431661
148,898.916,1.21843,0.73914,1.12026,0.81957,0.8181,0.85915,0.53883,1.31695,0.95116,1.09549,0.000428912,0.000428912,0.000428912
149,904.592,1.21551,0.73431,1.1185,0.78147,0.77495,0.85214,0.52471,1.2951,0.92222,1.1066,0.000426163,0.000426163,0.000426163
150,910.377,1.17502,0.68697,1.1025,0.78772,0.83836,0.83999,0.53533,1.24168,0.95869,1.08071,0.000423414,0.000423414,0.000423414
151,916.323,1.20949,0.75673,1.12755,0.78488,0.83642,0.84788,0.55083,1.23938,0.91732,1.06552,0.000420665,0.000420665,0.000420665
152,922.031,1.18814,0.73294,1.11158,0.78189,0.77753,0.85401,0.56369,1.22475,0.90574,1.05451,0.000417916,0.000417916,0.000417916
153,927.99,1.20748,0.72472,1.13059,0.87627,0.81981,0.87715,0.57695,1.22959,0.85857,1.04432,0.000415167,0.000415167,0.000415167
154,933.895,1.21005,0.73228,1.13574,0.78697,0.85704,0.85651,0.54808,1.28681,0.88876,1.07397,0.000412418,0.000412418,0.000412418
155,939.685,1.20862,0.70265,1.1098,0.73512,0.84108,0.84692,0.5206,1.34826,0.92563,1.08872,0.000409669,0.000409669,0.000409669
156,945.574,1.17776,0.70394,1.12239,0.86994,0.69357,0.83803,0.54269,1.24284,0.95003,1.06047,0.00040692,0.00040692,0.00040692
157,951.526,1.17957,0.70731,1.13053,0.91703,0.65798,0.83849,0.52978,1.28674,0.95066,1.08319,0.000404172,0.000404172,0.000404172
158,957.353,1.21802,0.70522,1.14196,0.77753,0.75117,0.84203,0.54016,1.28772,0.94482,1.09524,0.000401423,0.000401423,0.000401423
159,963.175,1.21636,0.72922,1.12797,0.80542,0.78862,0.82874,0.50636,1.38384,0.98879,1.0991,0.000398674,0.000398674,0.000398674
160,969.27,1.20527,0.72291,1.12306,0.74877,0.79994,0.8361,0.53348,1.29855,0.9162,1.06971,0.000395925,0.000395925,0.000395925
